comp_id,CHEMBL286,smiles
CHEMBL3353636,0,CCCCS(=O)(=O)N1CCC[C@H](C[C@@]2(CCC3CCCCC3)NC(=N)N(C)C2=O)C1
CHEMBL29103,1,C=CC[C@H](NC(=O)[C@H](Cc1ccc(OC)cc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(=O)C(F)(F)C(=O)NCCN1CCOCC1
CHEMBL1761520,1,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)cc(OCCN(C)C)c1
CHEMBL4110011,1,COCCCOc1cc([C@@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)cc2cnn(C)c12
CHEMBL166550,0,CC(C)C[C@H](NC(=O)CC(O)[C@H](CC(C)C)NC(=O)CCC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccccc1
CHEMBL151836,0,C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@H](C=O)CCC1CCCCC1
CHEMBL398584,1,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2
CHEMBL295048,1,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCCN(C)C)C(C)C
CHEMBL2028952,1,CC(C)[C@H](NC(=O)[C@@H](CCCc1ccccc1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCCN1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCCN)C(N)=O
CHEMBL279939,1,CCC(C)CNC(=O)C[C@H](O)C(CC(C)C)NC(=O)C(CCCCn1cccc1)NC(=O)C(Cc1cccc2ccccc12)Cc1cccc2ccccc12
CHEMBL3414702,0,C[C@@]1(c2ccc(F)cc2F)CCSC(N)=N1
CHEMBL3350032,1,CC[C@H](C)CNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)C(NC(C)=O)NC(=O)C(Cc1cccc2ccccc12)Cc1cccc2ccccc12
CHEMBL3653709,0,CC1=NC2(CCCc3ccc(Br)cc32)N=C1N
CHEMBL540047,1,CC[C@H](C)[C@H](NC(=O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)CCNC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCC(N)CC1)C(=O)NCc1cnc(C)nc1N.Cl.Cl
CHEMBL3142213,1,CC(C)S(=O)(=O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C
CHEMBL3924805,1,COCCCn1nc(C)c2c(C)cc([C@H](C)N(C(=O)[C@H]3CNCCO3)C3CC3)cc21
CHEMBL3688739,0,C#CCOc1cnc(C(=O)Nc2cc(F)c(Cl)c([C@@]3(CF)N=C(N)O[C@@H]4C[C@@H]43)c2)cn1
CHEMBL58153,1,COC(=O)C(NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@H](O)CC(C)C
CHEMBL1271285,1,Cc1c(F)cccc1Cc1c(C(=O)N2CCNCC2)c2ccccc2n1C1CCOCC1
CHEMBL405844,0,COc1ccc(-c2cnn(-c3ccccc3)c2N)cc1OC
CHEMBL508205,1,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4c(Cl)cc(C)cc4Cl)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1
CHEMBL2011271,0,N=C(N)SCc1c(F)cccc1Cl
CHEMBL2371843,1,CC[C@H](C)[C@H](NC(=O)[C@H](CCCc1ccccc1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1cn(C=O)c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1cn(C=O)c2ccccc12)NC(=O)[C@@H]1CCCN1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
CHEMBL81518,0,CC(C)[C@H](NC(=O)[C@H](C)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](CCN(C)C)NC(=O)OC(C)(C)C)C(=O)NCc1ccncc1
CHEMBL517746,0,C=CCn1c(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)nc2sc3c(c2c1=O)CCCC3
CHEMBL288275,1,CC(C)CCNC(=O)C(F)(F)C(=O)C(CC1CCCCC1)NC(=O)Cc1nnc2c(CC(C)C)nc(-c3ccccc3)cn12
CHEMBL3127098,0,NC1=N[C@@]2(CS1)c1cc(-c3cccnc3F)ccc1O[C@@H]1CCOC[C@H]12
CHEMBL1076464,1,COc1cccc(CN(C(=O)C2=C(c3ccc(CCCOc4c(F)ccc(F)c4Cl)cc3)C(F)(F)CNC2)C2CC2)c1C
CHEMBL31259,1,C=CC[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@H](C(=O)C(F)(F)C(=O)NCCN1CCOCC1)C1CCCCC1
CHEMBL1824625,1,Cc1c(F)cccc1Cc1c(C(=O)N2CCNCC2)c2cccnc2n1-c1ccccc1
CHEMBL591342,1,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cccc(C)c2)C1
CHEMBL3674437,1,COC[C@H]1CC[C@H](NC(=O)[C@@H]2CNC[C@H](C(=O)N(c3cc(OC)c(C(C)C)cn3)C3CC3)[C@@H]2O)CC1
CHEMBL4108388,1,COCCCOc1cc([C@@H](C)N(C(=O)[C@H]2CNCCO2)C2CC2)cc(C(F)(F)F)c1
CHEMBL1795901,1,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccccc2)C2CC2)cc(OCCOC)c1
CHEMBL3143457,1,CC(C)CC(=O)NC[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C
CHEMBL300504,1,CC(C)[C@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)NS(=O)(=O)C(C)C
CHEMBL1270668,1,O=C(c1c(Cc2c(F)cccc2Cl)n(-c2ccccc2)c2ccccc12)N1CCNCC1
CHEMBL1957677,1,CC(=O)NCCc1ccccc1-c1ccc([C@H]2CNCC[C@@H]2c2cccnc2)c(Cl)c1
CHEMBL1210336,0,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(OS(=O)(=O)Cc2ccccc2)c1)C(=O)NC1CCCCC1
CHEMBL3659641,0,COc1ccc(C2(c3cn(C)c(N)n3)CCCCC2)cc1
CHEMBL536082,1,CNC(=O)CCCNC(=O)[C@@H](C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(C)C.Cl
CHEMBL1270082,0,O=C(CSc1nc2ccc(Nc3nc(N4CCOCC4)nc(N4CCOCC4)n3)cc2s1)Nc1ccccc1Cl
CHEMBL2172798,0,Cn1c(N)nc([C@H]2C[C@H]2c2ccc(-c3cccc(OCC4CC4)c3)cc2)cc1=O
CHEMBL1270339,1,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(OCC(F)F)c2)N=C1N
CHEMBL453805,0,CC(C)=CCOc1c2occc2cc2ccc(=O)oc12
CHEMBL1210339,0,C[C@H](NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cccc(S(=O)(=O)N(C)Cc2ccccc2)c1)C(=O)NC1CCCCC1
CHEMBL535855,1,CNC(=O)C(C)(C)CNC(=O)[C@@H](C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(C)C.Cl
CHEMBL511390,0,Cc1ccc(Nc2cc(-c3ccc(CCCO)cc3)ncn2)cc1NS(C)(=O)=O
CHEMBL2322605,1,Cl.Clc1ccc(N(Cc2ccccc2)CC2CNCC2Cc2ccccc2)cc1
CHEMBL1796063,1,COCCCc1cc(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)C2CC2)cc(Br)c1C
CHEMBL118421,1,NC1CCN(C(=O)O[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)CCSc2ccccn2)CC1
CHEMBL295544,1,CC(C)C[C@H]1[C@H](C(=O)N[C@@H](Cc2cscn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CC(C)C)[C@H]1C(=O)N1CCOCC1
CHEMBL23160,1,CCC(C)CNC(=O)C[C@H](O)C(CC(C)C)NC(=O)C(CCCCC/N=C(\S)NC)NC(=O)C(Cc1cccc2ccccc12)Cc1cccc2ccccc12
CHEMBL60535,1,CC(C)C[C@@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)C(NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)O
CHEMBL1092187,1,COCCc1ccc(Cl)c(CN(C(=O)C(CN)Cc2ccc(CCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1
CHEMBL315673,1,CC(C)CCNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)N1C(=O)CN[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C1=O
CHEMBL3348539,1,CCOC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)CC
CHEMBL239639,0,CN1C(=O)CC(C)(CCc2ccccc2)N=C1N
CHEMBL2169947,0,COc1cccc(-c2ccc([C@@H]3C[C@@H]3c3cc(=O)n(C)c(N)n3)cc2)n1
CHEMBL511187,0,CS(=O)(=O)Nc1cc(Nc2cc(-c3ccccc3)ncn2)ccc1Br
CHEMBL448175,1,NC(=O)CCC(=O)N1CC2CC(c3ccc(CCCOc4c(F)ccc(F)c4F)cc3)=C(C(=O)N(Cc3ccccc3Cl)C3CC3)C(C1)N2
CHEMBL213595,0,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1COC/C=C/COC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1
CHEMBL2349610,0,CN1C(=O)C2(CC(C)(C)Oc3ccc(Br)cc32)N=C1N
CHEMBL3683810,0,Cc1cc(C#N)cnc1C(=O)Nc1cc(F)c(F)c([C@]2(CF)N=C(N)O[C@H]3C[C@H]32)c1
CHEMBL2181981,0,O=C(OCc1ccc(Br)cc1)[C@H]1C[C@]2(CN1)C(=O)Nc1ccccc12
CHEMBL407901,0,CC[C@H](C)[C@H](NC(=O)CC(O)C(N)CC(C)CNC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)OC[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)OC(C)(C)C)C(=O)NCc1ccccn1
CHEMBL117002,1,CSC[C@H](NC(=O)[C@H](Cc1ccccc1)OC(=O)N1CCC(N)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)Cn1ccc(=O)cc1
CHEMBL510710,1,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(CCCOc4ccc(Cl)cc4)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1
CHEMBL1222236,0,CC[C@@H](CC(=O)NC(C)C)n1c(N)nc2cc(Cl)ccc21
CHEMBL41303,1,C=C1C[C@@H]([C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)OC1=O
CHEMBL3961799,1,CC(C)CN(C(=O)c1cnc(C(C)(C)C)nc1NCc1ccco1)[C@H]1CCCNC1
CHEMBL276749,0,CCCCNS(=O)(=O)C[C@@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CCc1ccccc1
CHEMBL1824942,1,Cc1cc(F)cc(C)c1Cc1c(C(=O)N2CCNCC2)c2ncccc2n1-c1ccccc1
CHEMBL2299406,0,CSC[C@@H](NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(=O)CN[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C
CHEMBL584521,0,NC1=NC(c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cncnc3)c2)C2=NCCCN12
CHEMBL49971,0,CC(C)C[C@H](NC(=O)C(O)c1ccccc1Br)[C@@H](O)CC(=O)N[C@H](C(=O)NCc1ccc(C(=O)O)cc1)C(C)C
CHEMBL1923128,1,CCN(CC)CCCc1cc(CCCOC)cc(CN(C(=O)[C@H]2CNCC[C@@]23OCc2cc(F)c(F)cc23)C2CC2)c1Cl
CHEMBL162970,0,CC(C)S(=O)(=O)N(C)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc(C(=O)N[C@H](C)c2ccccc2)c1
CHEMBL3400451,1,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2N(C)C(=O)OCc2ccccc2)C(C)C)ccc1OC
CHEMBL431751,1,COC(=O)C(NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)NCCN1CCOCC1
CHEMBL158203,0,CCC[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)C[C@H](NC(=O)CC(C)C)C(=O)O)C(=O)NCC(C)C
CHEMBL597277,0,CCc1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)cc(CC)n1
CHEMBL402171,0,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cnn(CC)c2)cc(N2CCCC2=O)c1
CHEMBL492828,0,COc1cc(O)c(CC=C(C)C)c2c1C(=O)CC(c1ccc(O)cc1)O2
CHEMBL292677,1,CC(C)C[C@@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)C(NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)NC(Cc1c[nH]cn1)C(=O)O
CHEMBL88340,1,C=CC[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C(F)(F)C(=O)NCCN1CCOCC1
CHEMBL401180,0,C[C@@]1(N)Cc2cccc(c2)CC[C@H](c2ccccc2)NC(=O)c2cc(cc(-c3ccccc3C#N)c2)COC1=O
CHEMBL365330,1,COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COCc2ccc(Cl)c(C(F)(F)F)c2)cc1
CHEMBL1269680,1,Cc1cc(Cl)c(OCCOc2ccc([C@H]3CCNC[C@@H]3C(=O)N(Cc3cc(CNCCF)ccc3Cl)C3CC3)cc2)c(Cl)c1
CHEMBL3348541,1,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1cccc2ccccc12)NC(=O)OC(C)(C)C
CHEMBL51401,1,CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCN1CCOCC1)C(C)C
CHEMBL74362,1,CCCc1nc(-c2cccnc2)cn2c(C(Cc3cccnc3)C(=O)NC(CC3CCCCC3)C(O)CC(C(=O)NCCN)C(C)C)nnc12
CHEMBL197457,1,COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COCc2cccc(OC(F)(F)F)c2)cc1
CHEMBL1910298,1,O=C([C@H]1CNCC[C@]1(O)c1ccc(F)c(F)c1)N(Cc1c[nH]c2cccc(Cl)c12)C1CC1
CHEMBL30869,1,C=CS(=O)(=O)[C@H]1[C@H](C(=O)N[C@@H](Cc2cscn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CC(C)C)[C@H]1c1ccccc1
CHEMBL3683868,0,NC1=N[C@@](c2cc(NC(=O)c3ccc(Br)cn3)cc(F)c2F)(C(F)F)[C@H]2C[C@H]2O1
CHEMBL1934285,0,O=C([C@@H]1CNC[C@H]1c1ccccc1Br)N1CCOC[C@@H]1c1ccccc1
CHEMBL2177330,0,COc1ccc2c(c1)C1(COC(N)=N1)c1cc(-c3ccc(Cl)cc3F)ccc1O2
CHEMBL325241,1,CSCC(NC(=O)[C@H](Cc1ccccc1)OC(=O)N1CCC(N)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CCSc1ccccn1
CHEMBL598290,0,CCc1cc([C@]2(c3cccc(-c4cccnc4F)c3)N=C(N)N(C)C2=O)cc(CC)n1
CHEMBL417199,1,CC(=O)n1c(C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)C[C@H](O)C(C)C)cc2ccccc21
CHEMBL508161,1,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)NCc3ccccc3)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1
CHEMBL1808236,1,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)CNC(=O)c2ccccc2)C(C)C)C(C)C)ccc1OC
CHEMBL1941006,0,O=C(Cn1c(-c2ccccn2)nc2ccccc21)c1ccc(O)c(O)c1
CHEMBL2322536,0,C[C@@H](C(=O)NCc1ccc(CN)cc1)c1ccc(-c2ccccc2)c(F)c1
CHEMBL353204,1,CC(C)C[C@H](NC(=O)C[C@@H](O)C(CC1CCCCC1)NC(=O)CC1OC1[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccccc1
CHEMBL382026,1,COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COc2ccc3c(c2)N(CCOC(C)=O)CCC3)cc1
CHEMBL1270873,1,O=C(c1c(Oc2ccccc2)n(-c2ccccc2)c2ccccc12)N1CCCNCC1
CHEMBL318672,1,CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)CCc1ccccn1
CHEMBL2322896,1,Cl.Clc1ccc(N(C[C@@H]2CNC[C@H]2Cc2ccccc2)c2ccccc2)cc1
CHEMBL3142183,1,CC[C@H](C)[C@H](NC(=O)C(F)(F)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC1N=CC=N1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccccn1
CHEMBL127459,1,Cc1ccc(NC(=O)C(Cc2ccccc2)NS(=O)(=O)N2CCOCC2)cc1C(=O)NC(CC1CCCCC1)C(O)C(O)CC(C)C
CHEMBL185917,0,Nc1ccc2cc(F)ccc2n1
CHEMBL2059453,0,Cc1ccccc1SCC(O)Cn1c2c(c3ccccc31)CCC2
CHEMBL557838,1,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCCC(N)=O)C(C)C)ccc1OC.Cl
CHEMBL1923125,1,O=C([C@H]1CNCC[C@@]12OCc1cc(F)c(F)cc12)N(Cc1cccc2cccnc12)C1CC1
CHEMBL3143460,1,CN(C)CC(=O)NCC[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C
CHEMBL508748,1,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(C)Cc3ccccc3Cl)[C@H]3CN(S(=O)(=O)Cc4ccccc4)C[C@@H](C2)N3)cc1
CHEMBL196405,1,COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COCc2cccc(C#N)c2)cc1
CHEMBL3604597,0,CCC[C@H](NC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cccs1)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)[C@@H](C)CC)C(=O)O
CHEMBL1221924,0,c1cnc2ncc(-c3ccncc3)n2c1
CHEMBL2059597,0,Nc1cccc(SCC(O)Cn2c3ccccc3c3ccccc32)c1
CHEMBL3895197,0,COC1CCC2(CC1)Oc1ccc(Br)cc1C21CCSC(N)=N1
CHEMBL43185,0,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1
CHEMBL31252,1,O=C(OCc1ccc([C@H]2CCNC[C@@H]2OCc2ccc3ccccc3c2)cc1)c1ccccc1
CHEMBL1269689,1,CCC(=O)NCc1ccc(Cl)c(CN(C(=O)[C@H]2CNCC[C@@H]2c2ccc(OCCOc3c(Cl)cc(C)cc3Cl)cc2)C2CC2)c1
CHEMBL88654,1,CC[C@@H](O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1csc(N)c1)NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1
CHEMBL167218,1,CC(C)C[C@H](NC(=O)C[C@@H](O)C(CC1CCCCC1)NC(=O)CC1OC1[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1cccc(CN)c1
CHEMBL1818064,1,CC(=O)NCCC[C@@](O)(c1cccc(F)c1-c1cccc(C)c1)[C@@H]1CCCN(C(=O)[C@@H]2C[C@H](O)[C@H](N)C2)C1
CHEMBL3350025,1,CC[C@H](C)CNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)C(NC(=O)C(Cc1cccc2ccccc12)Cc1cccc2ccccc12)Sc1ccccc1
CHEMBL3400452,1,CC[C@@H](OC(=O)N[C@@H]1CNC[C@H]1CN(C(=O)c1ccc(OC)c(OCCCOC)c1)C(C)C)c1ccccc1
CHEMBL1163250,0,O=C(NCc1ccccc1Cl)c1ccc(N2CC3CC(C2)c2cccc(=O)n2C3)c(NS(=O)(=O)c2ccc3c(c2)OCCO3)c1
CHEMBL205345,1,COCCCN1C(=O)COc2ccc(SC[C@H]3CNCC(=O)N3c3ccc(OCCCOCc4ccccc4OC)cc3)cc21
CHEMBL3703245,0,NC1=NC2(CS1)c1cc(Br)ccc1OCC21COC1
CHEMBL53112,1,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NC(Cc1ccccc1)c1ccccc1
CHEMBL1163933,0,CCCC1C(C(C)=O)=C(C)N(CC(=O)OC(C)C)C(C)=C1C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC1
CHEMBL1163648,0,CCN1CCN(CCNC(=O)c2ccc3c(=O)n(Cc4ccc(Cl)cc4)c(=S)[nH]c3c2)CC1
CHEMBL475671,1,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4c(F)ccc(F)c4F)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1
CHEMBL2349464,0,CC1(C)Cc2ccc(-c3cncc(F)c3)cc2C2(COC(N)=N2)C1
CHEMBL98582,1,CCC(C)(N)C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(CC(C)C)C(O)CC(=O)N[C@@H](C)C(=O)NC(CC(C)C)C(O)CC(=O)O)C(C)C)C(C)C
CHEMBL1164642,0,C[C@H](NC(=O)c1cc(OCC(=O)NCCCCCN)cc(OS(=O)(=O)Cc2ccccc2)c1)c1ccccc1
CHEMBL31550,1,C=CC[C@H](NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)C(O)C(F)(F)C(=O)NCCN1CCOCC1
CHEMBL2314782,0,CC(C)(C)OC(=O)N1CCN(c2cccc3c2NC(=O)[C@H](c2ccccc2)N=C3c2ccccc2)CC1
CHEMBL1946463,1,Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2ccccc2n1[C@H]1C=CCCC1
CHEMBL285454,1,O=C(OCCOc1ccc([C@H]2CCNC[C@@H]2OCc2ccc3ccccc3c2)cc1)c1ccccc1
